main_crop,count
001,106054
002,6881
003,2210
004,23226
005,1184
009,89
010,2
016,15
019,40516
020,1704
024,128
027,28
028,182
031,6
035,6
037,3
043,2
044,4223
046,13576
047,1
053,209
054,15159
055,133
056,21
062,62
063,19500
064,179
065,27380
069,38
076,14
077,110
079,82
080,3
083,8
088,41
089,12
092,1
093,7631
101,3
103,875
112,8
113,50
114,2
117,9
118,43
121,169
122,165
127,723
129,186
130,1165
134,2938
135,54
145,18
150,2
152,219
162,96
167,259
169,558
171,1
177,23
188,3
189,731
191,1
204,6
209,179
213,4
214,22059
216,1
218,7
219,44
226,46
228,3
240,1073
263,2
270,6
279,3
280,2
291,1
292,4
294,4
296,5
315,10
316,1
319,1
321,20
324,16
328,3
331,1
332,36
335,2
336,94070
346,2
348,5
357,42
359,4
361,16
362,1
363,1
369,155
379,9
382,1
383,1
384,2
386,16
389,29
390,8
392,2
394,8
398,6
399,1
408,49
410,27597
411,18
415,5
416,82
420,3631
421,2
422,42
424,57
429,8
430,3
436,10
445,144
453,17
457,2
458,5
460,7
461,21
462,2
468,9
469,27
471,70
472,43
473,156
474,153
475,406
476,4
477,33
480,10
481,26
485,2
488,1
490,22
492,177
493,29
494,250
495,148
496,4
499,15
500,81
501,69
503,75
507,116
512,1
524,1
533,637
534,1
539,1
544,402
545,6
551,1414
552,85
553,17
554,1
555,475
562,44134
578,90
587,43757
597,57
612,2
615,127
619,2
624,127
629,692
630,11
651,61
653,105
655,85
656,17
661,24
668,1
669,1
671,271
672,447
673,343
679,997
680,7
682,17
684,907
685,255
691,1
693,3235
695,3
710,801
715,10
734,3
736,19
737,123
783,615
784,76
785,299
786,13999
788,2936
789,1334
791,719
792,18
793,10
800,18757
801,493
804,109
831,546
862,3
870,13622
879,1
899,45818
902,137
903,120
909,19
910,6
917,57
919,133
921,307
924,717
926,65
927,170
932,149
933,46
935,121
936,34
939,304
940,1178
941,537
942,1
952,78
954,8
956,1
961,12
962,6
964,1
965,14
966,4
969,1
970,11
971,24
998,5
A05,1
A06,555
A09,543
A11,30
A12,4
A15,544
A16,4
A17,262
A94,5
