HCAT2_Name,Count
pasture_meadow_grassland_grass,186961
cereal,156784
alfalfa_lucerne,44134
rice,40517
not_known_and_other,38207
fruit,28351
soy_soybeans,23226
tree_wood_forest,21358
plants_harvested_green,18757
rye,14639
barley,13622
triticale,7631
apples,4223
olive_plantations,3631
millet_sorghum,3571
tomato,2955
rapeseed_rape,2210
chard,2198
chickpeas,2106
vegetables,1865
flowers_ornamental_plants,1483
pumpkin_squash_gourd,1188
sunflower,1184
melon,1165
potatoes,801
pears,731
salads_lettuce_leaf_vegetables,723
watermelon,717
kitchen_gardens,692
oats,637
arable_crops,572
kiwi,546
peach,493
cherry_cherries,447
spinach,427
plums,358
shallot,314
apricots,271
aromatic_medicinal_culinary_plants_spices_herbs,260
rocket_arugula,259
chicory_chicories,254
hazelnuts_hazel,250
clover,231
brassica_oleracea_cabbage,182
sod_turf,179
sweet_chestnuts,177
beans,165
raspberry_raspberries,156
blackberry,153
walnuts,148
lavender_lavandula,144
alliums,137
flax_linseed,133
sweet_lupins,127
basil,124
mustard,120
vetches,119
nectarine,109
miscanthus_silvergrass,105
endive,96
emmer,89
valerian,82
saffron_crocus_sativus,78
truffle,71
orchards_fruits,70
fennel,65
industrial_nonfood_crops,59
buckwheat,57
cucumber_pickle,57
leek,54
garlic,50
pomegranate,49
coriander,46
legumes_forage_crops,44
fig,44
cauliflower,43
other_permanent_crops_plantations,42
phacelia,36
radish,34
nuts,33
blackcurrant_cassis,33
artichoke,33
almond,29
carrots_daucus,28
fresh_vegetables,27
redcurrant,26
quinces,24
festuca_fescue,22
poaceae_grasses,21
hemp_cannabis,21
feijoa,20
rosemary,20
celery,18
vineyards_wine_vine_rebland_grapes,17
teff,17
chamomile,16
lentils,15
hops,14
broccoli,11
elder_elderberry,10
horseradish,8
kohlrabi,8
mints_peppermint,8
lemon_balm_melissa,6
quinoa,6
peony_peonies,6
medlar_loquat,5
dandelions,5
sida_virginia_mallow,5
camelina,5
amaranth,4
sage_chia,4
poppy,4
chrysanthemum,3
gladiolus_gladioli,3
fenugreek,3
permanent_crops_perennial,3
citrus_plantations,3
root_vegetables,2
onobrychis_sainfoins,2
nettles,2
cornflowers,2
echinacea_sun_hat,1
celeriac,1
chives,1
festulolium,1
hippophae_sea_buckthorns_seaberry,1
legumes_from_trees,1
nurseries_nursery,1
safflower,1
eucalyptus,1
rhubarb,1
