HCAT2_Code,HCAT2_Name
3302000000,pasture_meadow_grassland_grass
3301010800,triticale
3301010700,rice
3301010000,cereal
3303010000,orchards_fruits
3301160000,soy_soybeans
3301310100,chard
3301090301,alfalfa_lucerne
3301010400,barley
3303011200,pears
3399000000,not_known_and_other
3301080000,flowers_ornamental_plants
3301010300,rye
3301200000,vegetables
3303050000,olive_plantations
3306000000,tree_wood_forest
3301090000,plants_harvested_green
3301060500,sunflower
3301090207,sod_turf
3301140400,pumpkin_squash_gourd
3301310300,endive
3301220600,shallot
3301010900,millet_sorghum
3301060400,rapeseed_rape
3301140300,melon
3303010200,apples
3303990000,other_permanent_crops_plantations
3301030000,potatoes
3301280000,tomato
3301140500,watermelon
3301150200,buckwheat
3303010300,apricots
3303010900,nectarine
3301020200,chickpeas
3301000000,arable_crops
3301010500,oats
3301120000,kitchen_gardens
3301310000,salads_lettuce_leaf_vegetables
3303021000,raspberry_raspberries
3303011300,plums
3301060700,flax_linseed
3301061219,lavender_lavandula
3301061200,aromatic_medicinal_culinary_plants_spices_herbs
3301170000,fennel
3301310800,spinach
3301310600,rocket_arugula
3303010800,medlar_loquat
3303030600,walnuts
3301061207,basil
3303030200,hazelnuts_hazel
3301090303,clover
3301220000,alliums
3301061400,phacelia
3301061232,saffron_crocus_sativus
3301090305,vetches
3301070000,fresh_vegetables
3301310200,chicory_chicories
3301061238,valerian
3303030500,sweet_chestnuts
3303011100,peach
3303030100,almond
3301210200,brassica_oleracea_cabbage
3301061000,hemp_cannabis
3303010700,kiwi
3303010400,cherry_cherries
3301290300,carrots_daucus
3301011200,emmer
3301210100,mustard
3301290600,radish
3303080400,elder_elderberry
3301020100,beans
3301140100,cucumber_pickle
3304040000,truffle
3301220200,garlic
3303020200,blackberry
3303020300,blackcurrant_cassis
3301080900,chrysanthemum
3301083000,miscanthus_silvergrass
3301061222,mints_peppermint
3301020700,sweet_lupins
3301270000,artichoke
3301290000,root_vegetables
3301060200,hops
3303010600,fig
3301020500,lentils
3301010904,teff
3301060000,industrial_nonfood_crops
3303021100,redcurrant
3303030000,nuts
3303011400,pomegranate
3301061230,rosemary
3301061213,chamomile
3301020000,legumes_forage_crops
3303020000,nuts
3301210204,cauliflower
3301090200,poaceae_grasses
3303011500,quinces
3303060000,vineyards_wine_vine_rebland_grapes
3301220300,leek
3301081400,dandelions
3301020400,fenugreek
3301250000,celery
3301090202,festuca_fescue
3301061215,coriander
3301210209,kohlrabi
3301210202,broccoli
3303010500,feijoa
3301190000,sage_chia
3303040000,citrus_plantations
3301090203,festuca_fescue
3301083400,peony_peonies
3301060600,poppy
3301150300,quinoa
3303000000,permanent_crops_perennial
3301061600,onobrychis_sainfoins
3304030000,sida_virginia_mallow
3301081500,echinacea_sun_hat
3301061500,camelina
3301061220,lemon_balm_melissa
3301082100,gladiolus_gladioli
3301210400,horseradish
3301250100,celeriac
3301150100,amaranth
3301090204,festulolium
3301220100,chives
3301081000,cornflowers
3303110000,legumes_from_trees
3303020800,hippophae_sea_buckthorns_seaberry
3303070000,nurseries_nursery
3301061225,nettles
3301083900,safflower
3306050000,eucalyptus
3301230000,rhubarb
